title,actor,actress
The Hills Have Eyes,"Stanford, Aaron","Quinlan, Kathleen"
The Hitcher,"Bean, Sean","Bush, Sophia"
The Hitchhiker's Guide to the Galaxy,"Bailey, Bill","Chancellor, Anna"
The Homesman,"Jones, Tommy Lee","Swank, Hilary"
The Hot Chick,"Schneider, Rob","Faris, Anna"
The Hottie & the Nottie,"Moore, Joel David","Hilton, Paris"
The House Bunny,"Hanks, Colin","Faris, Anna"
The Human Stain,"Hopkins, Anthony","Kidman, Nicole"
The Hundred-Foot Journey,"Puri, Om","Mirren, Helen"
The Hunger Games: Catching Fire,"Hemsworth, Liam","Lawrence, Jennifer"
The Hunger Games: Mockingjay - Part 1,"Hutcherson, Josh","Lawrence, Jennifer"
The Iceman,"Shannon, Michael","Ryder, Winona"
The Imitation Game,"Cumberbatch, Benedict","Knightley, Keira"
The Immigrant,"Phoenix, Joaquin","Cotillard, Marion"
The Incredible Hulk,"Norton, Edward","Tyler, Liv"
The Incredibles,"Nelson, Craig T.","Hunter, Holly"
The Innkeepers,"Healy, Pat","Paxton, Sara"
The International,"Owen, Clive","Watts, Naomi"
The Interpreter,"Penn, Sean","Kidman, Nicole"
The Invasion,"Craig, Daniel","Kidman, Nicole"
The Invention of Lying,"Gervais, Ricky","Garner, Jennifer"
The Invisible,"Chatwin, Justin","Levieva, Margarita"
The Island,"McGregor, Ewan","Johansson, Scarlett"
The Italian Job,"Wahlberg, Mark","Theron, Charlize"
The Jacket,"Brody, Adrien","Knightley, Keira"
The Joneses,"Duchovny, David","Moore, Demi"
The Killer Inside Me,"Affleck, Casey","Hudson, Kate"
The Killing Room,"Cannon, Nick","DuVall, Clea"
The King's Speech,"Firth, Colin","Bonham Carter, Helena"
The Ladies Man,"Meadows, Tim","Parsons, Karyn"
The Ladykillers,"Hanks, Tom","Hall, Irma P."
The Lake House,"Reeves, Keanu","Bullock, Sandra"
The Last Exorcism,"Fabian, Patrick","Bell, Ashley"
The Last Kiss,"Braff, Zach","Barrett, Jacinda"
The Last Song,"Kinnear, Greg","Cyrus, Miley"
The Lazarus Effect,"Duplass, Mark","Wilde, Olivia"
The Lazarus Project,"Walker, Paul","Perabo, Piper"
The Legend of Hercules,"Lutz, Kellan","Weiss, Gaia"
The Lego Movie,"Arnett, Will","Banks, Elizabeth"
The Life and Death of Peter Sellers,"Rush, Geoffrey","Theron, Charlize"
The Lincoln Lawyer,"McConaughey, Matthew","Tomei, Marisa"
The Longest Ride,"Eastwood, Scott","Robertson, Britt"
The Lords of Salem,"Davison, Bruce","Zombie, Sheri Moon"
The Losers,"Morgan, Jeffrey Dean","Saldana, Zoe"
The Love Guru,"West, Kanye","Simpson, Jessica"
The Lovely Bones,"Wahlberg, Mark","Weisz, Rachel"
The Lucky One,"Efron, Zac","Schilling, Taylor"
The Lucky Ones,"Robbins, Tim","McAdams, Rachel"
The Machinist,"Bale, Christian","Leigh, Jennifer Jason"
The Man Who Wasn't There,"Thornton, Billy Bob","McDormand, Frances"
The Master of Disguise,"Carvey, Dana","Esposito, Jennifer"
The Messenger,"Foster, Ben","Malone, Jena"
The Mexican,"Pitt, Brad","Roberts, Julia"
The Midnight Meat Train,"Cooper, Bradley","Bibb, Leslie"
The Million Dollar Hotel,"Davies, Jeremy","Jovovich, Milla"
The Missing,"Jones, Tommy Lee","Blanchett, Cate"
The Mist,"Jane, Thomas","Harden, Marcia Gay"
The Mortal Instruments: City of Bones,"Campbell Bower, Jamie","Collins, Lily"
The Mummy Returns,"Fraser, Brendan","Weisz, Rachel"
The Muppets,"Segel, Jason","Adams, Amy"
The Namesake,"Penn, Kal",Tabu
The Necessary Death of Charlie Countryman,"LaBeouf, Shia","Wood, Evan Rachel"
The New Guy,"Qualls, DJ","Dushku, Eliza"
The Next Three Days,"Crowe, Russell","Banks, Elizabeth"
The Night Listener,"Williams, Robin","Collette, Toni"
The Nines,"Reynolds, Ryan","McCarthy, Melissa"
The Number 23,"Carrey, Jim","Madsen, Virginia"
The Numbers Station,"Cusack, John","Akerman, Malin"
The Odd Life of Timothy Green,"Edgerton, Joel","Garner, Jennifer"
The One,"Li, Jet","Gugino, Carla"
The One I Love,"Duplass, Mark","Moss, Elisabeth"
The Order,"Ledger, Heath","Sossamon, Shannyn"
The Pacifier,"Diesel, Vin","Graham, Lauren"
The Passion of the Christ,"Caviezel, Jim","Morgenstern, Maia"
The Phantom of the Opera,"Butler, Gerard","Rossum, Emmy"
The Pleasure of Your Company,"Biggs, Jason","Fisher, Isla"
The Polar Express,"Hanks, Tom","Zemeckis, Leslie"
The Possession,"Morgan, Jeffrey Dean","Sedgwick, Kyra"
The Prince & Me,"Mably, Luke","Stiles, Julia"
The Prince,"Patric, Jason","Lowndes, Jessica"
The Princess and the Frog,"Campos, Bruno","Rose, Anika Noni"
The Proposal,"Reynolds, Ryan","Bullock, Sandra"
The Purge,"Hawke, Ethan","Headey, Lena"
The Pyramid,"O'Hare, Denis","Hinshaw, Ashley"
The Queen,"Cromwell, James","Mirren, Helen"
The Reader,"Fiennes, Ralph","Hain, Jeanette"
The Reaping,"Morrissey, David","Swank, Hilary"
The Rebound,"Bartha, Justin","Zeta-Jones, Catherine"
The Resident,"Morgan, Jeffrey Dean","Swank, Hilary"
The Ring,"Henderson, Martin","Watts, Naomi"
The Ring Two,"Baker, Simon","Watts, Naomi"
The Rocker,"Wilson, Rainn","Applegate, Christina"
The Rookie,"Quaid, Dennis","Griffiths, Rachel"
The Room,"Wiseau, Tommy","Danielle, Juliette"
The Royal Tenenbaums,"Hackman, Gene","Huston, Anjelica"
The Ruins,"Tucker, Jonathan","Malone, Jena"
The Rules of Attraction,"Van Der Beek, James","Sossamon, Shannyn"
The Santa Clause 2,"Allen, Tim","Mitchell, Elizabeth"
The Santa Clause 3: The Escape Clause,"Allen, Tim","Mitchell, Elizabeth"
The Savages,"Hoffman, Philip Seymour","Linney, Laura"
The Second Best Exotic Marigold Hotel,"Patel, Dev","Smith, Maggie"
The Secret Life of Walter Mitty,"Stiller, Ben","Wiig, Kristen"
The Sessions,"Hawkes, John","Hunt, Helen"
The Shaggy Dog,"Allen, Tim","Davis, Kristin"
The Shipping News,"Spacey, Kevin","Moore, Julianne"
The Simpsons Movie,"Castellaneta, Dan","Kavner, Julie"
The Skeleton Twins,"Hader, Bill","Wiig, Kristen"
The Social Network,"Eisenberg, Jesse","Mara, Rooney"
The Spectacular Now,"Teller, Miles","Woodley, Shailene"
The Spirit,"Macht, Gabriel","King, Jaime"
The Spy Next Door,"Chan, Jackie","Valletta, Amber"
The Starving Games,"Christian, Cody","Walsh, Maiara"
The Stepfather,"Walsh, Dylan","Ward, Sela"
The Stepford Wives,"Broderick, Matthew","Kidman, Nicole"
The Terminal,"Hanks, Tom","Zeta-Jones, Catherine"
The Texas Chainsaw Massacre,"Tucker, Jonathan","Biel, Jessica"
The Texas Chainsaw Massacre: The Beginning,"Handley, Taylor","Brewster, Jordana"
The Thing,"Edgerton, Joel","Winstead, Mary Elizabeth"
The To Do List,"Simmons, Johnny","Plaza, Aubrey"
The Tourist,"Depp, Johnny","Jolie, Angelina"
The Tournament,"Carlyle, Robert","Hu, Kelly"
The Town,"Affleck, Ben","Hall, Rebecca"
The Transporter,"Statham, Jason","Shu, Qi"
The Tuxedo,"Chan, Jackie","Hewitt, Jennifer Love"
The Twilight Saga: Breaking Dawn - Part 2,"Pattinson, Robert","Stewart, Kristen"
The Twilight Saga: Eclipse,"Samuel, Xavier","Stewart, Kristen"
The Ugly Truth,"Butler, Gerard","Heigl, Katherine"
The Unborn,"Oldman, Gary","Annable, Odette"
The Upside of Anger,"Costner, Kevin","Allen, Joan"
The Village,"Phoenix, Joaquin","Howard, Bryce Dallas"
The Voices,"Reynolds, Ryan","Arterton, Gemma"
The Vow,"Tatum, Channing","McAdams, Rachel"
The Watcher,"Spader, James","Tomei, Marisa"
The Water Diviner,"Crowe, Russell","Kurylenko, Olga"
The Way Way Back,"Carell, Steve","Collette, Toni"
The Wedding Date,"Mulroney, Dermot","Messing, Debra"
The Wedding Planner,"McConaughey, Matthew","Lopez, Jennifer"
The Wicker Man,"Cage, Nicolas","Burstyn, Ellen"
The Wild Thornberrys Movie,"Kane, Tom","Chabert, Lacey"
The Wolfman,"Merrells, Simon","Whelan, Gemma"
The Wolverine,"Jackman, Hugh","Okamoto, Tao"
The Wrestler,"Rourke, Mickey","Tomei, Marisa"
The X Files: I Want to Believe,"Duchovny, David","Anderson, Gillian"
The Young Victoria,"Friend, Rupert","Blunt, Emily"
They Came Together,"Rudd, Paul","Poehler, Amy"
Things We Lost in the Fire,"Del Toro, Benicio","Berry, Halle"
Thir13en Ghosts,"Shalhoub, Tony","Davidtz, Embeth"
Third Person,"Neeson, Liam","Bello, Maria"
This Is 40,"Rudd, Paul","Mann, Leslie"
This Is Where I Leave You,"Bateman, Jason","Fey, Tina"
This Means War,"Pine, Chris","Witherspoon, Reese"
Thor,"Hemsworth, Chris","Portman, Natalie"
Thor: The Dark World,"Hemsworth, Chris","Portman, Natalie"
Time Lapse,"O'Leary, Matt","Panabaker, Danielle"
Timeline,"Walker, Paul","O'Connor, Frances"
TMNT,"Evans, Chris","Gellar, Sarah Michelle"
To the Wonder,"Affleck, Ben","Kurylenko, Olga"
Tokarev,"Cage, Nicolas","Nichols, Rachel"
Tomcats,"O'Connell, Jerry","Elizabeth, Shannon"
Tooth Fairy,"Johnson, Dwayne","Judd, Ashley"
Top Five,"Rock, Chris","Dawson, Rosario"
Total Recall,"Farrell, Colin","Beckinsale, Kate"
Transcendence,"Depp, Johnny","Hall, Rebecca"
Transformers,"LaBeouf, Shia","Fox, Megan"
Transformers: Dark of the Moon,"LaBeouf, Shia","Huntington-Whiteley, Rosie"
Transformers: Revenge of the Fallen,"LaBeouf, Shia","Fox, Megan"
Transporter 3,"Statham, Jason","Rudakova, Natalya"
Trespass,"Cage, Nicolas","Kidman, Nicole"
Trick 'r Treat,"Baker, Dylan","Aytes, Rochelle"
Tristan + Isolde,"Franco, James","Myles, Sophia"
Trust,"Owen, Clive","Keener, Catherine"
Tuck Everlasting,"Hurt, William","Bledel, Alexis"
Turistas,"Duhamel, Josh","George, Melissa"
Twisted,"Jackson, Samuel L.","Judd, Ashley"
Two Night Stand,"Teller, Miles","Tipton, Analeigh"
Two Weeks Notice,"Grant, Hugh","Bullock, Sandra"
Un long dimanche de fiançailles,"Ulliel, Gaspard","Tautou, Audrey"
Underworld,"Speedman, Scott","Beckinsale, Kate"
Underworld: Awakening,"Rea, Stephen","Beckinsale, Kate"
Underworld: Evolution,"Speedman, Scott","Beckinsale, Kate"
Unknown,"Neeson, Liam","Kruger, Diane"
Unthinkable,"Jackson, Samuel L.","Moss, Carrie-Anne"
Untraceable,"Burke, Billy","Lane, Diane"
Up in the Air,"Clooney, George","Farmiga, Vera"
Urban Legends: Final Cut,"Davis, Matthew","Morrison, Jennifer"
V for Vendetta,"Weaving, Hugo","Portman, Natalie"
Vacancy,"Wilson, Luke","Beckinsale, Kate"
Vacation,"Helms, Ed","Applegate, Christina"
Valentine,"Boreanaz, David","Richards, Denise"
Vampires Suck,"Lanter, Matt","Proske, Jenn"
Van Helsing,"Jackman, Hugh","Beckinsale, Kate"
Van Wilder,"Reynolds, Ryan","Reid, Tara"
Van Wilder 2: The Rise of Taj,"Penn, Kal","Cohan, Lauren"
Vanilla Sky,"Cruise, Tom","Cruz, Penélope"
Veronica Mars,"Dohring, Jason","Bell, Kristen"
Vertical Limit,"O'Donnell, Chris","Tunney, Robin"
Waiting for Forever,"Sturridge, Tom","Bilson, Rachel"
Waiting...,"Reynolds, Ryan","Faris, Anna"
Waitress,"Fillion, Nathan","Russell, Keri"
Walk of Shame,"Marsden, James","Banks, Elizabeth"
Walk the Line,"Phoenix, Joaquin","Witherspoon, Reese"
Wanderlust,"Rudd, Paul","Aniston, Jennifer"
"War, Inc.","Cusack, John","Duff, Hilary"
Warm Bodies,"Hoult, Nicholas","Palmer, Teresa"
Watchmen,"Crudup, Billy","Akerman, Malin"
Water for Elephants,"Pattinson, Robert","Witherspoon, Reese"
We Bought a Zoo,"Damon, Matt","Johansson, Scarlett"
We Need to Talk About Kevin,"Reilly, John C.","Swinton, Tilda"
We Own the Night,"Phoenix, Joaquin","Mendes, Eva"
We Were Soldiers,"Gibson, Mel","Stowe, Madeleine"
We're the Millers,"Sudeikis, Jason","Aniston, Jennifer"
Welcome to the Rileys,"Gandolfini, James","Stewart, Kristen"
Wet Hot American Summer,"Hyde Pierce, David","Garofalo, Janeane"
What Happens in Vegas,"Kutcher, Ashton","Diaz, Cameron"
What Maisie Knew,"Coogan, Steve","Moore, Julianne"
What Women Want,"Gibson, Mel","Hunt, Helen"
What's Your Number?,"Evans, Chris","Faris, Anna"
When a Stranger Calls,"Flanagan, Tommy","Belle, Camilla"
When in Rome,"Duhamel, Josh","Bell, Kristen"
While We're Young,"Stiller, Ben","Watts, Naomi"
White Noise,"Keaton, Michael","West, Chandra"
White Noise 2: The Light,"Fillion, Nathan","Sackhoff, Katee"
White Oleander,"Billingsley, John","Aquino, Amy"
Whiteout,"Macht, Gabriel","Beckinsale, Kate"
Wicker Park,"Hartnett, Josh","Byrne, Rose"
Wimbledon,"Bettany, Paul","Dunst, Kirsten"
Win a Date with Tad Hamilton!,"Grace, Topher","Bosworth, Kate"
Win Win,"Giamatti, Paul","Ryan, Amy"
Wind Chill,"Holmes, Ashton","Blunt, Emily"
Wo hu cang long,"Chow, Yun-Fat","Yeoh, Michelle"
Woman in Gold,"Reynolds, Ryan","Mirren, Helen"
World Trade Center,"Cage, Nicolas","Bello, Maria"
World War Z,"Pitt, Brad","Enos, Mireille"
Would You Rather,"Combs, Jeffrey","Snow, Brittany"
Wrecked,"Brody, Adrien","Dhavernas, Caroline"
Wristcutters: A Love Story,"Fugit, Patrick","Sossamon, Shannyn"
Wrong Turn,"Harrington, Desmond","Dushku, Eliza"
X-Men: The Last Stand,"Jackman, Hugh","Berry, Halle"
xXx,"Diesel, Vin","Argento, Asia"
Yes Man,"Carrey, Jim","Deschanel, Zooey"
You Can Count on Me,"Ruffalo, Mark","Linney, Laura"
You Kill Me,"Kingsley, Ben","Leoni, Téa"
You're Next,"Tucci, Nicholas","Vinson, Sharni"
"You, Me and Dupree","Wilson, Owen","Hudson, Kate"
Young Adult,"Oswalt, Patton","Theron, Charlize"
"Yours, Mine & Ours","Quaid, Dennis","Russo, Rene"
Youth in Revolt,"Cera, Michael","Doubleday, Portia"
Youth Without Youth,"Roth, Tim","Lara, Alexandra Maria"
Zack and Miri Make a Porno,"Rogen, Seth","Banks, Elizabeth"
Zombie Strippers!,"Englund, Robert","Jameson, Jenna"
Zookeeper,"James, Kevin","Dawson, Rosario"
Zoom,"Allen, Tim","Cox, Courteney"
Æon Flux,"Csokas, Marton","Theron, Charlize"
