title,actor,actress
Chloe,"Neeson, Liam","Moore, Julianne"
Chocolat,"Molina, Alfred","Moss, Carrie-Anne"
Christmas with the Kranks,"Allen, Tim","Curtis, Jamie Lee"
Cinderella Man,"Crowe, Russell","Zellweger, Renée"
City by the Sea,"De Niro, Robert","McDormand, Frances"
City Island,"Garcia, Andy","Margulies, Julianna"
Click,"Sandler, Adam","Beckinsale, Kate"
Closer,"Law, Jude","Roberts, Julia"
Cloud Atlas,"Hanks, Tom","Berry, Halle"
Club Dread,"Montgomery Jr., Dan","Lyons, Elena"
Coherence,"Sterling, Maury","Baldoni, Emily"
Cold Creek Manor,"Quaid, Dennis","Stone, Sharon"
Cold in July,"Hall, Michael C.","Shaw, Vinessa"
Cold Mountain,"Law, Jude","Kidman, Nicole"
Collateral Damage,"Schwarzenegger, Arnold","Neri, Francesca"
College Road Trip,"Lawrence, Martin",Raven-Symoné
Compliance,"Servitto, Matt","Dowd, Ann"
Confessions of a Shopaholic,"Dancy, Hugh","Fisher, Isla"
Confessions of a Teenage Drama Queen,"Garcia, Adam","Lohan, Lindsay"
Confidence,"Burns, Edward","Weisz, Rachel"
Constantine,"Reeves, Keanu","Weisz, Rachel"
Contagion,"Chui, Tien You","Paltrow, Gwyneth"
Contraband,"Wahlberg, Mark","Beckinsale, Kate"
Control,"Riley, Sam","Morton, Samantha"
Conviction,"Rockwell, Sam","Swank, Hilary"
Corky Romano,"Kattan, Chris","Shaw, Vinessa"
Corpse Bride,"Depp, Johnny","Bonham Carter, Helena"
Country Strong,"McGraw, Tim","Paltrow, Gwyneth"
Cowboys & Aliens,"Craig, Daniel","Spencer, Abigail"
Coyote Ugly,"Garcia, Adam","Perabo, Piper"
Crank,"Statham, Jason","Smart, Amy"
Crank: High Voltage,"Statham, Jason","Smart, Amy"
Crash,"Bakhtadze, Dato","Arroyave, Karina"
Crazy/Beautiful,"Hernandez, Jay","Dunst, Kirsten"
Crocodile Dundee in Los Angeles,"Hogan, Paul","Kozlowski, Linda"
Crossroads,"Mount, Anson","Spears, Britney"
Cry_Wolf,"Morris, Julian","Booth, Lindy"
Cypher,"Northam, Jeremy","Liu, Lucy"
Dallas Buyers Club,"McConaughey, Matthew","Garner, Jennifer"
